author_id,FullName,HIndex,research_sector
309238221625,Guillaume Lemaître,10,32057259
747324850364,Patrick L. Meras,4,8258574
987843024183,S. I. Konovalov,5,30262949
1348620307694,A. Seiden,19,1631149
257698535807,F. Guescini,78,1631149
386547616079,Kirsten Patrick,11,7352532
352187825414,I. Mandić,2,1631149
730145054695,G. Lukyanchenko,15,23376214
747324904932,G. Rizzo,74,15925557
231928734231,S Watanuki,2,15925557
266288472986,Zhimei Lv,8,30262949
644245601677,Kyoji Onaru,2,1631149
704375222782,A. Di Giacinto,5,23376214
738734943330,Troelz Denver,7,8258574
163209374625,Siyi Wanggou,10,30262949
627065791804,Yoshinobu Unno,48,1631149
1271310874656,W. Vulcan,36,13750489
60130065240,Pedro Zuccarello,5,8575869
575526146813,Shogo Nakayama,3,26865719
1305670675315,L. Vitale,75,15925557
1331440431870,Igor Danilkin,19,17040978
120259625277,K H Williford,23,2814755
1262720888201,S. J. Lee,17,1631149
1563368658745,T Strub,13,17040978
1640678070519,G. Casarosa,38,15925557
300648249728,B.T. Adalsteinsson,6,17040978
395137560825,E. J. Staats,2,1631149
627065722236,B R White,7,30262949
1185411466862,L Lanceri,9,15925557
1632088169953,X. Kang,2,8575869
111669734024,D Paudyal,9,17040978
94489818829,D.S. Hou,7,27313889
137439485359,Zachary W. Yokley,7,23376214
180389239721,J.-H. Arling,22,1631149
1494649202701,G Testera,2,23376214
249108652430,Sigmar K. Stefansson,3,17040978
1649267954187,Arnaud Serret-Larmande,5,32057259
128849558808,I V Gorelov,114,1631149
489626839231,A.S. Biselli,68,1631149
755914840420,Oleg Smirnov,13,23376214
1133871916904,J. Wiechczynski,35,15925557
1194001509269,Ewa Wons,4,17040978
566936217113,Anna-Karina Kaczorowska,7,17040978
120259680919,G. Batignani,43,15925557
592705994973,A. Kourkoumeli-Charalampidi,62,17247747
712965134115,A.J. Bevan,61,1631149
962073174460,Shinji Miki,11,26865719
833224217440,Z. Kotek,2,1631149
901943687523,L X Chung,2,27313889
360777873683,F. Giudicepietro,21,17040978
395137495708,L Hehn,3,30262949
592706051715,S. Rottenanger,6,23376214
180389208518,Romain Griffier,6,32057259
781684548518,D.J. Hamilton,24,17040978
1082332353958,L. X. Chung,2,27313889
34360310694,Filippo Bosi,14,15925557
429497297157,S. Appel,9,23376214
773094627889,Y.X. Bai,4,2538267
412317451535,Seyedali Moayedi,9,8575869
1297080742776,Nuruzzaman,16,13750489
335007990736,I. Mandić,48,1631149
1288490732761,Majorana Collaboration,4,30262949
1322850486067,Shuxia Fu,3,30262949
51540175382,A S Barabash,4,30262949
910533596932,Jonathan H. Kawamura,14,8258574
1022202736071,Y. Onuki,7,15925557
1305670640363,Susanne Mertens,22,30262949
420907380416,Rajeev Kumar,8,15925557
292058344402,Alain Delbart,18,27313889
515396605113,J. Stastny,3,1631149
1005022856069,V. Latonova,9,1631149
25770432625,Martin Boeker,19,32057259
1451699520790,T. Zakareishvili,29,8575869
446677141211,V. Bertacchi,17,15925557
1279900832890,S. Kühn,6,1631149
1503239104746,G. Bellini,21,23376214
1606318263252,Z. Natkaniec,70,15925557
1357210244870,Miguel Ullán,20,1631149
395137625025,Brett K Beaulieu-Jones,17,32057259
523986578174,C. Schwanda,62,15925557
1477469340278,R G H Robertson,36,30262949
1056562484488,M. Buuck,3,30262949
953483244328,T. Miyazaki,2,27313889
231928826374,Luying Sun,3,30262949
1443109535862,V Atroshchenko,9,23376214
575526183450,S. Diez,11,1631149
764504738157,B. Neumair,9,23376214
798864411566,Elisa Salamanca,7,32057259
652835636296,Hasan Arsın,2,17040978
197569082586,Michele Montuschi,13,23376214
661425573504,Xiaocong Ai,3,1631149
532576560212,D. Dudas,2,1631149
1468879311967,S. Momiyama,12,27313889
962073216979,S. Zhamkochyan,7,13750489
1348620260830,M. I. Niculescu,5,13750489
343597918395,T. Higuchi,15,15925557
515396686949,D. Yamaguchi,2,1631149
790274558724,Marc Hauser,3,1631149
979253166350,Pablo Sobron,15,2814755
146029362681,G. Kramberger,48,1631149
420907409382,P. Moschovakos,43,17247747
575526161110,S. Sottocornola,37,17247747
781684685480,Julien Champ,10,32057259
1391569920068,J.P. Thomas,78,1631149
1159641696630,C. Garcia Argos,3,1631149
17180459373,Moisés Rojas-Badilla,5,1631149
850404158707,William F. Hug,12,2814755
541166405227,Moritz Wiehe,3,1631149
549756374789,B. Ponzio,5,17247747
292058333867,Simon Gardner,10,17040978
1013612862701,Ryutaro Nishimura,6,1631149
1417339790421,Minghao Gu,4,2538267
876173864458,A. Braghieri,50,17040978
489626828750,F. Château,14,27313889
481036831906,Richard French,14,1631149
618475800232,Bas Vroling,14,17040978
1288490714815,V. Bekrenev,25,17040978
678605426084,S. Bacher,3,15925557
1133871863960,S.D. Worm,64,23376214
214748948560,Sebastian Dorawa,3,17040978
1305670667369,M. Mikestikova,66,1631149
60130093551,R. Massarczyk,19,30262949
197568999945,K. Matsui,9,27313889
206159056594,Lukoye Atwoli,24,7352532
309238213162,Debashis Sahoo,2,15925557
1425929671054,J. Kierstead,9,1631149
249108666668,S. Bettarini,76,15925557
678605427926,F. Afzal,12,17040978
498216830546,Pauline Hall Barrientos,4,17040978
962073299348,Hiroyasu Ejiri,41,30262949
721555108563,S. N. Prakhov,23,17040978
231928815452,Scott Davidoff,8,8258574
309238269371,JILL-JÊNN VIE,7,32057259
764504729626,E. Downie,24,17040978
60130057840,F. von Feilitzsch,9,23376214
154619364836,Detlef Kraska,2,32057259
8590476623,Joseph Razzell Hollis,10,2814755
1305670641526,Xiong Zuo,6,2538267
463857057299,C. García,98,1631149
1271310858134,L.B.A.H. Hommels,22,1631149
309238259140,S. Gonzalez Sevilla,11,1631149
163209263484,E. Valdes Santurio,41,8575869
781684658172,S.N. Mayekar,3,15925557
1142461856117,C. Scharf,49,1631149
429497331675,Yasuhiko Terai,4,26865719
377957629331,Andrius Jasilionis,5,17040978
858994021614,D P Watts,31,17040978
738734879708,F. Forti,78,15925557
1185411584801,M. Miñano Moya,65,1631149
1228361244735,M. Vanadia,89,17247747
1494649187005,C Hagner,2,23376214
446677106364,M. Rozanska,50,15925557
790274541847,J.V. Civera,11,1631149
1305670564374,I S Guinn,9,30262949
403727562291,Hildegard Watzlawick,12,17040978
17180438336,Waclaw Ostrowicz,13,15925557
833224193028,M Toropova,6,23376214
970663148785,Tanja Horn,30,13750489
77309951739,J. Bohm,6,1631149
867583901561,A. V. Margaryan,9,13750489
1288490701100,S.H. Feng,6,2538267
1614908271638,V. Lisin,30,17040978
163209304139,C. Helling,2,1631149
566936246742,Xiaoxiang Zhao,2,8575869
171799277805,Katrine Stange Overå,2,17040978
274878535359,Satoshi Nakamura,36,13750489
1082332304728,C. Joo,12,15925557
1571958585542,D. I. Sober,52,17040978
300648222281,M. Ceccanti,9,15925557
42949672963,Carlos Augusto Monteiro,77,7352532
197569040564,A.S. Chisholm,53,1631149
592705983166,Dongpeng Li,2,8575869
317828125791,O. Grisel,6,32057259
670015494008,N. Dash,20,15925557
111669774394,Eva Nordberg Karlsson,34,17040978
678605389124,I. Lomskaya,6,23376214
1503239148057,Y. Kulchitsky,98,8575869
678605403619,S. Kumaran,7,23376214
876173923145,O. Ates,7,13750489
240518707148,M. T. Ranalli,3,23376214
944893322257,Payam Zamani,2,8258574
1400159938793,R. Asaturyan,26,13750489
377957646049,José A. Boninsegna,20,1631149
755914783856,W Boeglin,15,13750489
541166390804,T. Morii,5,15925557
1254131005814,Z. Marinides,14,17040978
146029430127,Kee Yuan Ngiam,16,32057259
876173836940,Ö Penek,24,23376214
1443109554573,J. Rager,11,30262949
532576465836,Yoichi Ikegami,15,1631149
532576531850,Damián Vázquez,5,7352532
592706011502,J. Goett,5,30262949
901943626216,Francine Perler,37,17040978
1073742410359,O. Jinnouchi,109,1631149
1116692090614,Michelle E. Minitti,20,2814755
17180506313,Jérémy Jaffré,4,11307926
68719991879,C. Ghiano,13,23376214
1219771280085,F. T. Avignone,48,30262949
1529008897114,F. Buchsteiner,3,15925557
747324882799,L. Pezzotti,20,17247747
1022202708446,Eiji Shinoda,8,26865719
1159641735723,Hiroshi Tsuneyoshi,3,26865719
94489777427,A. Neiser,11,17040978
395137618342,David Brandt,5,17040978
884763838880,L. Pietrofaccia,9,23376214
1443109529659,T. Petkovic,20,13750489
154619354073,L. Papp,12,23376214
1073742355183,Ondrej Theiner,2,1631149
34360266860,Y. Liu,4,1631149
335008031728,F. Doherty,10,1631149
764504684458,S I Alvis,3,30262949
730144966089,R. Henning,20,30262949
309238242577,D. Bravo,17,23376214
1417339804680,I. Stefan,6,27313889
25770396873,V. Lapoux,34,27313889
352187892030,S. Breant,3,32057259
1099512199704,R. Tartaglia,27,23376214
489626845741,Silmara A. Diniz,2,3030287
77310035272,Mariano Masiokas,27,1631149
180389124505,Eric M. Ek,5,8258574
1013612866010,H. Marin-Reyes,7,1631149
1236951157317,D. Santoyo,6,1631149
1520419039372,C. Irmler,6,15925557
240518737946,Laragh Gollogly,15,7352532
850404104136,M. Furic,21,13750489
429497316685,M. Lettmann,11,27313889
678605434155,R. Codling,16,17040978
1529008887256,F. Pheron,20,17040978
420907385456,E. V. Unzhakov,17,23376214
472446967201,F. McEwan,9,1631149
51540189384,F. Carrió,5,8575869
687195342099,C. Betancourt,69,1631149
867583935975,A. Gillibert,4,27313889
489626818966,Luca D'Auria,21,17040978
1340030381809,R. Thalmeier,3,15925557
120259721210,Griffin M Weber,32,32057259
670015431190,Aaron S. Burton,11,2814755
1219771249663,M.L. Cortés,9,27313889
1322850519912,A. Martini,6,15925557
738734924792,Michael M. Tice,18,8258574
987843094386,C. Chen,4,13750489
1151051732647,E. Paoloni,74,15925557
747324924023,Philip Kuczewski,9,1631149
807454379929,Hiroaki Aihara,91,15925557
1039382675503,Belle-II SVD Collaboration,2,15925557
472446930578,Kazuhiko Hara,53,1631149
549756390430,Sayaka Wada,3,1631149
1236951107143,B. Caccianiga,17,23376214
51540165879,L. Bosisio,33,15925557
635655737196,S. J. D. Kay,9,17040978
1022202726879,G Testera,6,23376214
438087242516,S I Konovalov,4,30262949
1391569982571,S. Kamada,9,1631149
17180417396,M. Redchuk,8,23376214
1331440430846,Andreas J. H. Reiter,4,17040978
1614908240422,A. Polonski,25,17040978
970663200381,J.F. Wilkerson,44,30262949
919123598503,Sheila Chiesi,3,11307926
1279900841826,M. Oberle,16,17040978
1460289394394,E. Tahirovic,36,1631149
506806672420,D. Forshaw,6,1631149
953483322074,Arnaud Sandrin,1,32057259
1202591383791,M. Friedl,7,15925557
1529008929435,D I Glazier,18,17040978
360777843194,G.N. Taylor,117,15925557
919123554216,M. Dieterle,11,17040978
1013612783462,S. Marti i Garcia,27,1631149
1400159863415,A. Greenall,6,1631149
1305670594579,P. Urquijo,105,15925557
506806679826,Nobushige Tamura,1,26865719
953483295004,Agnieszka Morzywolek,3,17040978
77309904984,L. Zani,8,15925557
1297080616110,T. Tsuboyama,15,15925557
1357210165407,A.M. Goretti,11,23376214
163209322942,Frank A. Frizelle,4,7352532
1434519675287,J. A. Mora Grimaldo,2,15925557
1623498136106,M. Kaleta,2,15925557
326418070679,Christopher Baethge,12,7352532
755914786301,A.S. Barabash,7,30262949
575526237796,Catherine Pierre-Audigier,14,11307926
1262720961773,P. Palni,32,1631149
858993963844,J. Gunnell,2,1631149
352187892748,M.I. Ferretti Bondy,8,17040978
987842971362,Z. Galloway,14,1631149
1142461917942,I. Supek,29,17040978
1159641686495,P.-H. Chu,29,30262949
377957743798,Sébastien Cossin,7,32057259
1511829046643,P.P. Allport,95,1631149
197569102908,P. Kvasnička,13,15925557
300648328930,Arnthór Aevarsson,13,17040978
781684625333,M. Unverzagt,14,17040978
790274551803,M. Kaneta,6,13750489
25770228144,Christian Haverkamp,9,32057259
403727448358,Katie Kirchoff,3,32057259
1133871876862,J.-Y. Roussé,10,27313889
1374390031044,Richard Kouzes,36,30262949
1554778655921,W. J. Briscoe,9,17040978
206158947938,H. Yin,2,15925557
343597877615,Elísabet E. Gudmundsdóttir,3,17040978
515396678249,G. Casse,67,1631149
764504712292,B. Gao,4,2538267
670015450847,Keiichi Tambara,21,26865719
17180409555,J.-Y. Roussé,8,27313889
214748918399,Pauline Hall Barrientos,4,17040978
412317423620,Tatsuya Ogawa,5,26865719
798864434338,L. X. Chung,2,27313889
841814156062,R. Kondratiev,29,17040978
996432943385,H. Fox,105,1631149
1030792675995,S. Marcocci,12,23376214
1073742338742,P. Mammini,3,15925557
601295990618,C. B. Hamill,3,17040978
747324828509,Douglas Murad,3,32057259
85899929381,J. Winter,4,23376214
146029402608,K. Yamamura,6,1631149
274878487776,Linglong Chu,2,8575869
1262720966539,M. Gromov,8,23376214
1279900868211,A.A. Affolder,52,1631149
1520418929824,D. L. Hibbard-Lubow,6,1631149
120259663826,S Davini,13,23376214
1073742338600,S Zavatarelli,6,23376214
300648343950,Tadeusz Kaczorowski,15,17040978
1056562490948,I. S. Drachnev,13,23376214
1005022877166,P. Massarotti,36,17247747
1357210175361,Z. Ye,22,13750489
1486059188819,Valentino Di Marcello,4,23376214
1537598879831,K. Maeda,29,13750489
103079729185,Slawomir Dabrowski,6,17040978
670015459443,J. Fernandez-Tejero,4,1631149
171799290927,M. De Nuccio,2,15925557
214748879864,J Myslik,3,30262949
962073229912,E. Rossi,5,1631149
377957718049,Junichiro Nishizawa,11,26865719
1434519645314,M. Wormald,6,1631149
721555059334,Y. Fujii,18,13750489
1159641762785,S. Pyatt,7,1631149
163209302931,Flávia A. Maia,3,3030287
721555126163,C. Lacasta,99,1631149
919123574523,T. Bilka,7,15925557
300648320803,D. Flannery,12,8258574
317828091114,Sophie Bulifon,10,11307926
326418083625,T. Gilliss,11,30262949
910533566438,J. Wilson,81,1631149
1022202743572,F. Tony Ghaemi,7,2814755
1073742364278,T. Lueck,2,15925557
1125281959791,Kazuhisa Kaneda,3,26865719
1133871860964,Karolina Kwiatkowska-Semrau,3,17040978
1451699535419,P. Starovoitov,98,8575869
274878403236,F. Gabriele,20,23376214
309238158932,Garth M. Huber,36,17040978
128849532082,Gary Doran,9,8258574
876173893758,Konrad Altenmüller,11,23376214
420907327282,Sanford A. Asher,82,2814755
498216822985,N.K. Walford,24,17040978
670015507029,B. Nebbad-Lechani,2,11307926
1005022903957,C. Samanta,24,13750489
1005022913578,Marinã R. Amaral,2,3030287
206158957580,Marcello Martini,22,17040978
824634339054,Michaela Queitsch-Maitland,69,1631149
1099512124753,C. Solaz,11,1631149
51540176435,H. Tanigawa,2,15925557
1219771290644,C. Milke,6,1631149
1511829068521,B. Lehnert,16,23376214
214748963485,Anita-Elin Fedøy,6,17040978
42950296600,Alexandre Gramfort,35,32057259
240518729851,Xiyan Lian,1,30262949
377957644489,J Gruszko,2,30262949
395137513250,Y. Shiga,15,27313889
1254130957039,A. Liyanage,7,13750489
1503239090956,Bernd Striberny,5,17040978
833224177629,P P Martel,7,17040978
1340030382486,C Dunagan,7,30262949
446677101812,Isaac J. Arnquist,16,30262949
635655697657,Astrid James,14,7352532
1151051821582,S Weinz,7,23376214
